,count,word
2218,16.0,drinking
1823,16.0,fast
2212,16.0,prime
456,16.0,card
534,16.0,whether
1160,16.0,arrive
2298,16.0,expensive
1236,16.0,line
1218,16.0,talked
197,16.0,king
946,16.0,group
1380,16.0,us
706,16.0,city
1914,16.0,ago
2515,16.0,key
789,16.0,liked
989,16.0,finally
110,16.0,song
2734,16.0,blue
2644,16.0,chocolope
1977,16.0,stress
1339,16.0,clothes
1302,16.0,known
1285,16.0,feels
1772,16.0,third
1270,16.0,november
338,16.0,fairly
3156,16.0,okay
2065,16.0,return
1750,15.0,hunter
1114,15.0,trees
1327,15.0,office
1706,15.0,note
1400,15.0,several
1555,15.0,gone
1578,15.0,jah
1454,15.0,tired
3611,15.0,print
3185,15.0,begins
1140,15.0,ready
1447,15.0,expected
1533,15.0,cvs
1642,15.0,unless
1093,15.0,common
3068,15.0,creditors
2694,15.0,sign
2043,15.0,items
523,15.0,online
520,15.0,mentioned
2548,15.0,texting
2599,15.0,higher
499,15.0,parts
4356,15.0,tomatoes
2744,15.0,smoked
601,15.0,oh
2784,15.0,curry
620,15.0,income
462,15.0,center
2128,15.0,forward
1730,14.0,giving
465,14.0,street
1644,14.0,miles
2663,14.0,running
1245,14.0,surprised
3006,14.0,x
2030,14.0,rite
2344,14.0,nobody
2848,14.0,globerson
2162,14.0,woke
1796,14.0,total
240,14.0,walking
3028,14.0,cream
896,14.0,process
921,14.0,kept
1066,14.0,woman
1261,14.0,fill
1906,14.0,enter
1197,14.0,stories
1514,14.0,under
1295,14.0,rigel
1219,14.0,brought
938,14.0,fall
388,14.0,nearby
2918,14.0,letter
3672,14.0,forest
3251,14.0,shot
984,14.0,against
926,14.0,nd
848,14.0,side
3114,13.0,competition
1024,13.0,deneb
196,13.0,john
1406,13.0,interest
1138,13.0,paper
1940,13.0,easily
540,13.0,exciting
746,13.0,study
1377,13.0,james
1765,13.0,speak
749,13.0,level
1105,13.0,similar
3197,13.0,thinks
1057,13.0,including
1088,13.0,otherwise
341,13.0,perhaps
2382,13.0,blood
2297,13.0,wear
2864,13.0,possibility
558,13.0,bus
2676,13.0,shoes
1635,13.0,sales
2083,13.0,average
1908,13.0,experience
18,13.0,medicines
983,13.0,decided
684,13.0,apartments
2511,13.0,turns
6,13.0,fomalhaut
2643,13.0,kush
1241,13.0,reader
1520,13.0,asking
216,13.0,bet
491,13.0,b
2952,13.0,payments
2027,13.0,hit
1527,13.0,major
2039,13.0,furniture
2226,13.0,appointments
2329,13.0,walked
892,13.0,related
716,13.0,decide
1012,13.0,editing
2935,13.0,grateful
1260,13.0,volume
1213,13.0,mail
3271,13.0,ice
1316,12.0,christmas
2432,12.0,nigeria
2707,12.0,needs
361,12.0,picture
171,12.0,subject
1699,12.0,suppose
2669,12.0,notice
1508,12.0,indian
949,12.0,present
993,12.0,ways
473,12.0,c
818,12.0,price
1305,12.0,somewhere
1607,12.0,its
1608,12.0,current
533,12.0,location
193,12.0,feelings
893,12.0,terms
1422,12.0,million
3496,12.0,system
2026,12.0,sitting
2029,12.0,cologne
400,12.0,ground
1450,12.0,speed
2613,12.0,awake
825,12.0,downtown
1071,12.0,avoid
307,12.0,aldebaran
1344,12.0,show
3673,12.0,thousand
3674,12.0,daemons
1809,12.0,sold
1773,12.0,practice
2271,12.0,re
641,12.0,needed
4087,12.0,lepoudre
642,12.0,buying
643,12.0,large
1740,12.0,market
1944,12.0,cut
1763,12.0,discussed
1881,12.0,effect
310,12.0,public
659,12.0,super
2480,12.0,halfway
2014,11.0,hold
1269,11.0,small
2376,11.0,speedway
3245,11.0,scrivener
3243,11.0,requires
145,11.0,strip
418,11.0,body
610,11.0,filled
615,11.0,changed
411,11.0,wow
339,11.0,young
3524,11.0,collateral
1631,11.0,wondering
607,11.0,fit
3525,11.0,damage
2730,11.0,coats
510,11.0,seemed
1544,11.0,spending
67,11.0,girlfriends
2721,11.0,ones
1460,11.0,minute
1220,11.0,conversation
2489,11.0,glasses
2034,11.0,considered
2368,11.0,noticed
908,11.0,regulus
3001,11.0,remind
326,11.0,science
1432,11.0,ink
898,11.0,red
605,11.0,chair
894,11.0,effort
2019,11.0,sound
2082,11.0,stock
3555,11.0,herself
463,11.0,area
1969,11.0,hoping
3784,11.0,heard
2649,11.0,arcturus
1072,11.0,considering
1688,11.0,women
2393,11.0,onions
2096,11.0,visit
1103,11.0,seeing
2172,11.0,apple
309,11.0,novi
2772,11.0,easy
1981,11.0,details
1084,11.0,comfortable
1095,11.0,topic
593,11.0,basis
4542,11.0,invest
2836,11.0,planning
831,11.0,chapter
3188,11.0,proud
2233,10.0,selling
5091,10.0,kindred
2727,10.0,prepared
627,10.0,cook
1453,10.0,period
1256,10.0,afternoon
55,10.0,memory
3322,10.0,pressure
1179,10.0,ability
1010,10.0,reviews
1536,10.0,enjoy
631,10.0,trouble
2333,10.0,hill
1457,10.0,accomplish
1094,10.0,housing
2171,10.0,led
2099,10.0,further
3086,10.0,verizon
117,10.0,sky
2582,10.0,notes
3606,10.0,data
1332,10.0,odd
2887,10.0,entries
703,10.0,lines
1118,10.0,character
2173,10.0,require
1254,10.0,during
2316,10.0,example
4057,10.0,edit
314,10.0,full
2270,10.0,bedroom
1200,10.0,markeesha
249,10.0,south
2246,10.0,grocery
2603,10.0,rob
2061,10.0,mid
4326,10.0,child
3391,10.0,due
1627,10.0,power
356,10.0,starting
2757,10.0,lose
3372,10.0,texts
1048,10.0,blank
602,10.0,helps
2244,10.0,follow
1133,10.0,somehow
224,10.0,diary
1786,10.0,scales
1310,10.0,caph
1151,10.0,schedule
2068,10.0,microwave
4173,10.0,mood
2408,10.0,catch
1920,10.0,ate
3349,10.0,deal
194,10.0,world
1091,10.0,tree
2163,10.0,summary
2723,10.0,maintain
548,10.0,yes
1216,9.0,response
1230,9.0,man
2119,9.0,passed
1191,9.0,problems
982,9.0,cash
449,9.0,paying
3676,9.0,o
1206,9.0,mix
1222,9.0,business
3407,9.0,free
1278,9.0,female
1090,9.0,lawn
2216,9.0,transit
1276,9.0,happens
2611,9.0,advice
1363,9.0,breaks
3621,9.0,message
2604,9.0,bill
1137,9.0,pen
2687,9.0,decision
409,9.0,break
1065,9.0,writes
1362,9.0,law
1026,9.0,head
1025,9.0,top
3527,9.0,mack
1144,9.0,care
2688,9.0,leaves
2697,9.0,altair
1284,9.0,somewhat
1147,9.0,sleeping
1073,9.0,published
1419,9.0,crazy
2088,9.0,bread
1258,9.0,challenge
2174,9.0,detail
2374,9.0,diet
1367,9.0,purpose
1004,9.0,slow
3749,9.0,feet
2370,9.0,anymore
1248,9.0,locked
2638,9.0,seeds
2383,9.0,sugar
664,9.0,ball
937,9.0,picked
104,9.0,nowadays
856,9.0,children
2853,9.0,recipe
1615,9.0,kids
858,9.0,perfect
531,9.0,plant
3065,9.0,payment
3941,9.0,lagos
876,9.0,alone
2987,9.0,contact
146,9.0,club
1676,9.0,author
109,9.0,movie
207,9.0,pick
1564,9.0,include
1559,9.0,digital
1802,9.0,connection
2849,9.0,supply
580,9.0,according
187,9.0,wake
1620,9.0,previously
807,9.0,moved
3135,9.0,thrift
805,9.0,door
1505,9.0,t
1656,9.0,york
1995,9.0,added
3131,9.0,ideal
842,9.0,married
1964,9.0,exercise
790,9.0,double
3113,9.0,overcome
2296,9.0,stressful
846,9.0,reminds
850,9.0,sex
1732,9.0,completed
629,9.0,clean
107,9.0,album
924,9.0,miss
3883,9.0,phact
951,9.0,throughout
2549,9.0,excited
1887,9.0,given
1506,9.0,rain
136,9.0,necessary
479,9.0,north
956,9.0,taken
2983,9.0,tobacco
1513,9.0,single
2973,9.0,prices
318,8.0,loud
100,8.0,mine
1329,8.0,showed
4165,8.0,advantage
304,8.0,weird
4306,8.0,teeth
317,8.0,quiet
1838,8.0,renaissance
362,8.0,drops
3579,8.0,grandma
4239,8.0,slept
794,8.0,game
366,8.0,quickly
1942,8.0,sometime
1704,8.0,repeat
798,8.0,quarters
4423,8.0,committee
369,8.0,value
1089,8.0,front
1875,8.0,helped
2111,8.0,internet
5443,8.0,fingerhut
2637,8.0,sooner
2931,8.0,timing
2926,8.0,weight
809,8.0,checked
4231,8.0,offer
2966,8.0,box
1830,8.0,inside
320,8.0,afterwards
1903,8.0,release
2284,8.0,eggs
2977,8.0,keeps
3005,8.0,reach
295,8.0,actual
1252,8.0,east
722,8.0,fresh
624,8.0,sit
1791,8.0,based
729,8.0,memories
1169,8.0,m
3655,8.0,remain
1171,8.0,general
154,8.0,acting
2634,8.0,cigarette
1244,8.0,wrong
3058,8.0,spica
1132,8.0,antares
2972,8.0,cheaper
4068,8.0,moment
1916,8.0,lunch
1746,8.0,section
343,8.0,downstairs
2855,8.0,soup
3729,8.0,fantastic
3076,8.0,agreement
302,8.0,hide
1293,8.0,mintaka
3744,8.0,step
561,8.0,send
962,8.0,began
929,8.0,entry
1370,8.0,english
43,8.0,charlayna
3423,8.0,parker
1049,8.0,needing
3266,8.0,bench
3526,8.0,david
2042,8.0,purchase
2726,8.0,festival
2605,8.0,aunt
2686,8.0,farms
2022,8.0,describe
493,8.0,caught
1384,8.0,maren
3542,8.0,gain
2202,8.0,art
2232,8.0,depression
1537,8.0,attractive
1535,8.0,qualities
1612,8.0,publisher
3460,8.0,gypsy
2016,8.0,sardines
2211,8.0,artwork
1405,8.0,places
2751,8.0,company
239,8.0,within
3528,8.0,series
2007,8.0,fell
528,8.0,ordered
2310,8.0,stuff
1051,8.0,forgot
503,8.0,houses
1011,8.0,serious
459,8.0,expenses
457,8.0,cover
2414,8.0,africa
3170,8.0,budget
3884,8.0,kraz
4406,8.0,humira
1986,8.0,security
1424,8.0,quality
3190,8.0,worry
2079,8.0,becomes
5936,8.0,sebastian
1054,8.0,minor
3319,8.0,temperature
972,8.0,telling
1646,8.0,autobiography
2606,8.0,margaret
1645,8.0,davis
5937,8.0,knight
2024,8.0,fantasy
2308,8.0,papers
4392,8.0,cookies
1369,8.0,share
2567,8.0,classes
2074,7.0,television
3644,7.0,loans
2023,7.0,appearance
2632,7.0,reality
3656,7.0,positive
1449,7.0,normally
3556,7.0,absorb
2976,7.0,manage
1224,7.0,recently
1850,7.0,mile
3679,7.0,warm
1846,7.0,age
1845,7.0,attorney
3401,7.0,sequences
2901,7.0,brush
2715,7.0,orange
2895,7.0,faith
2051,7.0,turned
1455,7.0,happening
1227,7.0,skin
2928,7.0,peacock
2495,7.0,accurate
1532,7.0,eyes
2970,7.0,ounce
2971,7.0,d
3665,7.0,emergency
2063,7.0,credit
1902,7.0,heart
1771,7.0,language
3283,7.0,pandemic
3091,7.0,accomplishment
1634,7.0,publish
1315,7.0,ingredients
1318,7.0,depressed
3122,7.0,eclipse
3124,7.0,sweet
1643,7.0,noir
2185,7.0,route
1333,7.0,stand
1970,7.0,worries
2258,7.0,cooking
1700,7.0,health
1365,7.0,medical
2245,7.0,estimate
1694,7.0,explain
3173,7.0,appreciate
1356,7.0,jay
1667,7.0,laughter
3136,7.0,brooks
1973,7.0,depends
2090,7.0,ida
3158,7.0,laura
3210,7.0,importance
1733,7.0,prior
1426,7.0,simply
2601,7.0,procyon
1905,7.0,relationships
2021,7.0,decisions
3008,7.0,strong
2379,7.0,walmart
1568,7.0,lorinda
1573,7.0,coacoa
2241,7.0,dangerous
2645,7.0,widow
2253,7.0,basically
2646,7.0,strawberry
1271,7.0,alsuhail
3045,7.0,associate
1597,7.0,application
3064,7.0,monthly
2355,7.0,busch
1287,7.0,attention
2164,7.0,subtle
2648,7.0,gienah
1402,7.0,isle
1401,7.0,belle
3087,7.0,meetings
2110,7.0,program
3728,7.0,understand
919,7.0,boyfriend
4232,7.0,product
828,7.0,atria
472,7.0,introduced
3990,7.0,saying
297,7.0,behind
4227,7.0,output
682,7.0,course
375,7.0,betty
3957,7.0,primes
184,7.0,prefer
481,7.0,eastside
998,7.0,expecting
566,7.0,gas
986,7.0,figure
42,7.0,summer
872,7.0,simple
874,7.0,pass
630,7.0,bathroom
751,7.0,beyond
1107,7.0,potential
4003,7.0,sundae
619,7.0,steady
4510,7.0,insurance
3830,7.0,aside
811,7.0,piece
806,7.0,lived
1067,7.0,concerned
4201,7.0,church
1056,7.0,beat
1055,7.0,characters
4354,7.0,spices
4016,7.0,prepare
4004,7.0,driver
77,7.0,amazing
4339,7.0,yeah
3841,7.0,archernar
521,7.0,lawyer
