,count,word
3607,10.0,comfortable
1583,10.0,reminds
1746,10.0,rarely
496,10.0,savings
477,10.0,option
322,10.0,pill
2482,10.0,potential
2504,10.0,begins
1371,10.0,forgot
3092,10.0,combinations
3639,10.0,indian
1723,10.0,anna
1328,10.0,discussed
519,10.0,wants
2322,10.0,meatloaf
1737,10.0,concerning
528,10.0,mid
1621,10.0,strong
553,10.0,sister
2194,10.0,strip
1779,10.0,idiot
5284,10.0,avocado
2325,10.0,carrots
2158,10.0,glasses
1280,10.0,becomes
3385,10.0,recording
544,10.0,window
1823,10.0,age
1825,10.0,hold
2442,10.0,difficulties
1597,10.0,gone
1667,10.0,locked
1595,10.0,slow
2217,10.0,drank
2446,10.0,realized
2674,10.0,level
4628,10.0,cookies
3450,10.0,selling
1093,10.0,joint
1117,10.0,deep
930,10.0,meals
1014,10.0,effect
2815,10.0,address
988,10.0,bookstore
2952,10.0,describing
4436,10.0,jay
925,10.0,caught
922,10.0,mile
2704,10.0,four
2776,10.0,introduction
4579,10.0,album
4651,10.0,term
3816,10.0,step
607,10.0,primary
4636,10.0,sera
2983,10.0,document
4605,10.0,ounces
2825,10.0,campus
1394,9.0,popular
5304,9.0,beans
6177,9.0,bamm
460,9.0,creating
1381,9.0,structure
243,9.0,regular
2783,9.0,ability
1382,9.0,needs
1808,9.0,begun
1201,9.0,opposite
3084,9.0,hare
5312,9.0,rays
2507,9.0,becoming
892,9.0,deliver
5335,9.0,flowers
1864,9.0,completely
2890,9.0,noble
2122,9.0,college
2137,9.0,purchase
909,9.0,named
782,9.0,keys
2160,9.0,crushed
1827,9.0,smell
2678,9.0,notebook
4932,9.0,scales
751,9.0,plants
772,9.0,forward
4251,9.0,police
1361,9.0,sick
3224,9.0,plant
2774,9.0,perspective
1743,9.0,ran
388,9.0,dilemma
379,9.0,comment
4801,9.0,brent
5830,9.0,aliens
1605,9.0,sticks
5262,9.0,spinach
378,9.0,nightmares
3701,9.0,nearby
1200,9.0,recent
2345,9.0,gold
5438,9.0,sad
1590,9.0,seven
4449,9.0,winter
4461,9.0,relate
5834,9.0,seeds
4060,9.0,faber
1562,9.0,weird
2728,9.0,poems
1499,9.0,zone
719,9.0,eastside
2221,9.0,snake
1493,9.0,connected
970,9.0,plot
747,9.0,waters
1891,9.0,bag
4888,9.0,exercising
2701,9.0,concerned
2258,9.0,carry
1704,9.0,passed
1446,9.0,produce
1454,9.0,access
1455,9.0,clubhouse
4788,9.0,flower
1466,9.0,shape
412,9.0,frame
309,9.0,unknown
316,9.0,simple
2312,9.0,ice
723,9.0,west
4964,9.0,corn
2175,9.0,homeless
2370,9.0,human
5882,9.0,saved
3571,9.0,energy
3299,9.0,foods
4039,9.0,houses
